Accepted_Latin_Name,Common,Created_By,Family,Genus,Latin_Name,Order,PLANTS_Code,Rank_Name,Species,Subspecies,Synonym,Updated_By,ACAD_ED,Accepted_Found,Aquatic,Exotic,Fern_Ally,Graminoid,Herbaceous,Moss_Lichen,Shrub,Tree,TSN,TSN_Accepted,Vine,CoC_ME_ACAD,Created_Date,Updated_Date,Invasive,Author,Canopy_Exclusion,Favorites,Protected_species,Coef_wetness
Carex leptalea,bristlystalked sedge,NA,Cyperaceae,Carex,Carex leptalea,Poales,CALE10,Species,leptalea,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39669,39669,FALSE,5,6/14/2012,10/22/2013,FALSE,Wahlenb.,FALSE,FALSE,FALSE,-5
Carex leptonervia,nerveless woodland sedge,NA,Cyperaceae,Carex,Carex leptonervia,Poales,CALE11,Species,leptonervia,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39670,39670,FALSE,5,7/27/2020 8:12,7/27/2020 8:12,FALSE,(Fernald) Fernald,FALSE,FALSE,FALSE,0
Carex limosa,mud sedge,NA,Cyperaceae,Carex,Carex limosa,Poales,CALI7,Species,limosa,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39674,39674,FALSE,7,3/28/2014,3/28/2014,FALSE,L.,FALSE,FALSE,FALSE,-5
Carex lucorum,Blue Ridge sedge,NA,Cyperaceae,Carex,Carex lucorum,Poales,CALU17,Species,lucorum,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,501241,501241,FALSE,3,3/28/2014,3/28/2014,FALSE,Willd. ex Link,FALSE,FALSE,FALSE,0
Carex lurida,shallow sedge,NA,Cyperaceae,Carex,Carex lurida,Poales,CALU5,Species,lurida,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39414,39414,FALSE,2,6/14/2012,10/22/2013,FALSE,Wahlenb.,FALSE,TRUE,FALSE,-5
Carex magellanica,boreal bog sedge,NA,Cyperaceae,Carex,Carex magellanica,Poales,CAMA12,Species,magellanica,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,501242,501242,FALSE,7,3/27/2014,3/27/2014,FALSE,Lam.,FALSE,FALSE,FALSE,-5
Carex normalis,greater straw sedge,NA,Cyperaceae,Carex,Carex normalis,Poales,CANO,Species,normalis,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39720,39720,FALSE,2,6/14/2012,10/22/2013,FALSE,Mack.,FALSE,FALSE,FALSE,-3
Carex novae-angliae,New England sedge,NA,Cyperaceae,Carex,Carex novae-angliae,Poales,CANO4,Species,novae-angliae,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39472,39472,FALSE,6,6/14/2012,10/22/2013,FALSE,Schwein.,FALSE,FALSE,FALSE,3
Carex oligosperma,fewseed sedge,NA,Cyperaceae,Carex,Carex oligosperma,Poales,CAOL3,Species,oligosperma,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39729,39729,FALSE,8,3/28/2016,3/28/2016,FALSE,Michx.,FALSE,FALSE,FALSE,-5
Carex Ovalis group,NA,NA,Cyperaceae,Carex,Carex Ovalis group,Poales,CAREX_2,Genus,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-9999999911,-9999999911,FALSE,3.2,6/14/2012,10/22/2013,FALSE,Undefined,FALSE,TRUE,FALSE,NA
Carex pallescens,pale sedge,NA,Cyperaceae,Carex,Carex pallescens,Poales,CAPA17,Species,pallescens,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39738,39738,FALSE,3,6/14/2012,10/22/2013,FALSE,L.,FALSE,FALSE,FALSE,0
Carex pauciflora,fewflower sedge,NA,Cyperaceae,Carex,Carex pauciflora,Poales,CAPA19,Species,pauciflora,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39743,39743,FALSE,8,3/28/2014,3/28/2014,FALSE,Lightf.,FALSE,FALSE,FALSE,-5
Carex projecta,necklace sedge,NA,Cyperaceae,Carex,Carex projecta,Poales,CAPR9,Species,projecta,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39425,39425,FALSE,3,6/14/2012,10/22/2013,FALSE,Mack.,FALSE,FALSE,FALSE,-3
Carex scabrata,eastern rough sedge,NA,Cyperaceae,Carex,Carex scabrata,Poales,CASC13,Species,scabrata,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39795,39795,FALSE,6,6/14/2012,10/22/2013,FALSE,Schwein.,FALSE,FALSE,FALSE,-5
Carex scoparia,broom sedge,NA,Cyperaceae,Carex,Carex scoparia,Poales,CASC11,Species,scoparia,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39432,39432,FALSE,2,6/14/2012,10/22/2013,FALSE,Schkuhr ex Willd.,FALSE,FALSE,FALSE,-3
Carex stipata,stalk-grain sedge,NA,Cyperaceae,Carex,Carex stipata,Poales,CAST5,Species,stipata,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39434,39434,FALSE,3,6/14/2012,10/22/2013,FALSE,Muhl. ex Willd.,FALSE,TRUE,FALSE,-5
Carex stricta,upright sedge,NA,Cyperaceae,Carex,Carex stricta,Poales,CAST8,Species,stricta,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39435,39435,FALSE,4,6/14/2012,10/22/2013,FALSE,Lam.,FALSE,TRUE,FALSE,-5
Carex tenera,quill sedge,NA,Cyperaceae,Carex,Carex tenera,Poales,CATE3,Species,tenera,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39838,39838,FALSE,2,6/14/2012,10/22/2013,FALSE,Dewey,FALSE,FALSE,FALSE,0
Carex tonsa,shaved sedge,NA,Cyperaceae,Carex,Carex tonsa,Poales,CATO10,Species,tonsa,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39846,39846,FALSE,3,9/5/2017,9/5/2017,FALSE,(Fernald) E.P. Bicknell,FALSE,FALSE,FALSE,0
Carex trisperma,threeseeded sedge,NA,Cyperaceae,Carex,Carex trisperma,Poales,CATR10,Species,trisperma,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39853,39853,FALSE,5,6/14/2012,10/22/2013,FALSE,Dewey,FALSE,FALSE,FALSE,-5
Carex umbellata,parasol sedge,NA,Cyperaceae,Carex,Carex umbellata,Poales,CAUM4,Species,umbellata,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39857,39857,FALSE,3,6/14/2012,10/22/2013,FALSE,Schkuhr ex Willd.,FALSE,FALSE,FALSE,0
Carex utriculata,Northwest Territory sedge,NA,Cyperales,Carex,Carex utriculata,Poales,CAUT,Species,utriculata,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,501288,501288,FALSE,5,3/27/2014,3/27/2014,FALSE,Boott,FALSE,FALSE,FALSE,-5
Carex vesicaria,blister sedge,NA,Cyperaceae,Carex,Carex vesicaria,Poales,CAVE6,Species,vesicaria,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39467,39467,FALSE,5,6/14/2012,10/22/2013,FALSE,L.,FALSE,FALSE,FALSE,-5
Carex vulpinoidea,common fox sedge,NA,Cyperaceae,Carex,Carex vulpinoidea,Poales,CAVU2,Species,vulpinoidea,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39442,39442,FALSE,2,6/14/2012,10/22/2013,FALSE,Michx.,FALSE,FALSE,FALSE,-5
